day,weight,calorie_intake,steps,sports_duration,tdee,calorie_balance,activity_factor,person_id,age,gender,height,initial_weight,sports_intensity
1,41.48052793480752,1991.7114751766953,4272,15.983909417408409,1770.2241244497739,221.48735072692148,1.672319547087042,0,35,female,166.2835949827704,41.451763343804025,vigorous
2,41.480921368298176,1721.9789513127214,4572,4.296149197040179,1718.9495134346337,3.0294378780877196,1.623880745985201,0,35,female,166.2835949827704,41.451763343804025,vigorous
3,41.5214540840163,1926.9463431375557,2266,0.0,1614.8444321080374,312.1019110295183,1.5255333333333332,0,35,female,166.2835949827704,41.451763343804025,vigorous
4,41.57238016098216,2116.9175359882643,2738,17.625694708858077,1724.7867433511071,392.1307926371571,1.629395140210957,0,35,female,166.2835949827704,41.451763343804025,vigorous
5,41.60392730989078,2024.1598172209863,4442,16.933180925379094,1781.2467706246448,242.91304659634147,1.682732571293562,0,35,female,166.2835949827704,41.451763343804025,vigorous
6,41.635198244086304,2023.699326192834,4351,17.854687972521035,1782.9131328872852,240.78619330554875,1.6843067731959385,0,35,female,166.2835949827704,41.451763343804025,vigorous
7,41.650272589953104,1994.5651980433358,7650,13.920043873975311,1878.4927348689948,116.07246317434101,1.7746002193698767,0,35,female,166.2835949827704,41.451763343804025,vigorous
8,41.69262062218984,2047.237400855801,5279,0.0,1721.1575526329143,326.07984822288677,1.6259666666666666,0,35,female,166.2835949827704,41.451763343804025,vigorous
9,41.70869424761712,1902.7567611740808,5413,10.033426988685637,1778.9898453840553,123.76691579002545,1.6806004682767617,0,35,female,166.2835949827704,41.451763343804025,vigorous
10,41.761699554040035,2150.422675449828,5062,5.437858295750762,1742.2818159933872,408.1408594564409,1.645922624812087,0,35,female,166.2835949827704,41.451763343804025,vigorous
11,41.78057875996471,1924.0800383892147,6230,4.533915552759253,1778.710152769215,145.36988561999965,1.6803362444304628,0,35,female,166.2835949827704,41.451763343804025,vigorous
12,41.78280125948817,1762.8466196673337,4328,10.983324512535248,1745.7333733367282,17.113246330605534,1.6491832892293428,0,35,female,166.2835949827704,41.451763343804025,vigorous
13,41.80944708373985,2000.1996049584743,3769,24.023421037575186,1795.0267582205597,205.1728467379146,1.6957504385212092,0,35,female,166.2835949827704,41.451763343804025,vigorous
14,41.82676208919791,1977.2027218183298,6887,12.466491300572732,1843.877179791235,133.3255420270948,1.7418991231695302,0,35,female,166.2835949827704,41.451763343804025,vigorous
15,41.82644103874428,1610.5183702096526,2059,1.0297126072584746,1612.9904587026506,-2.4720884929979547,1.5237818963696257,0,35,female,166.2835949827704,41.451763343804025,vigorous
16,41.821121478424516,1668.0094491799327,4023,6.070644562153246,1708.97006364212,-40.96061446218732,1.614453222810766,0,35,female,166.2835949827704,41.451763343804025,vigorous
17,41.8368222139661,1932.1158269189275,4898,19.556315856764527,1811.220163248725,120.89566367020257,1.7110482459504892,0,35,female,166.2835949827704,41.451763343804025,vigorous
18,41.882010642723394,1983.8850421216132,2388,3.171329559645603,1635.9341406904607,347.9509014311525,1.545456647798228,0,35,female,166.2835949827704,41.451763343804025,vigorous
19,41.91609005324297,1993.2930807212622,3816,11.59058628263621,1730.881619720564,262.4114610006982,1.635152931413181,0,35,female,166.2835949827704,41.451763343804025,vigorous
20,41.96289283498112,2103.799537030878,4618,8.612549694502869,1743.4181176471136,360.3814193837645,1.6469960818058476,0,35,female,166.2835949827704,41.451763343804025,vigorous
21,42.011039047172105,2032.987903271774,3106,3.3590284785763735,1662.2620694012016,370.7258338705724,1.570328475726215,0,35,female,166.2835949827704,41.451763343804025,vigorous
22,42.021735049432614,1830.1646352715902,4329,11.368147321164715,1747.805417865672,82.35921740591812,1.6511407366058237,0,35,female,166.2835949827704,41.451763343804025,vigorous
23,42.063710020547866,2082.2157261809425,5092,8.39816712532895,1759.0084485935256,323.2072775874169,1.661724168959978,0,35,female,166.2835949827704,41.451763343804025,vigorous
24,42.10784534950244,2159.5062413763544,6171,12.665056416972208,1819.6642084261373,339.8420329502171,1.719025282084861,0,35,female,166.2835949827704,41.451763343804025,vigorous
25,42.100729948711944,1764.4803206745391,6298,11.743701953216776,1819.2689067613362,-54.78858608679707,1.718651843099417,0,35,female,166.2835949827704,41.451763343804025,vigorous
26,42.12147276969166,1960.130940297409,6240,8.567420874162098,1800.4112187536339,159.71972154377522,1.7008371043708104,0,35,female,166.2835949827704,41.451763343804025,vigorous
27,42.201682066862986,2440.4691692469014,7013,7.655074868189963,1822.8575810276911,617.6115882192103,1.7220420410076165,0,35,female,166.2835949827704,41.451763343804025,vigorous
28,42.24545746569877,2150.5130386171973,5950,12.962861896240902,1813.4424675816538,337.0705710355435,1.7131476428145378,0,35,female,166.2835949827704,41.451763343804025,vigorous
29,42.2654373621138,1888.5425681283812,4123,10.264861846346959,1734.6973657326578,153.8452023957234,1.638757642565068,0,35,female,166.2835949827704,41.451763343804025,vigorous
30,42.285661997527924,1844.2366602643829,2692,11.077706379555298,1688.5069675756536,155.7296926887293,1.5951218652311099,0,35,female,166.2835949827704,41.451763343804025,vigorous
1,63.985956485927176,2095.286791596643,8758,17.618084985072837,2413.8052831256778,-318.5184915290347,1.7712968083084548,1,56,male,163.29007295502,64.02732252378809,light
2,64.00569256691716,2367.001656637927,4428,16.700693845399993,2215.0338330150125,151.9678236229147,1.6254344897423332,1,56,male,163.29007295502,64.02732252378809,light
3,64.00722598427625,2310.1509289045484,6861,4.721287525476635,2298.3436152395857,11.807313664962749,1.686568812542461,1,56,male,163.29007295502,64.02732252378809,light
4,64.01268850630831,2234.917397444351,4109,13.315971453785052,2192.8559777975083,42.06141964684275,1.6091599524229752,1,56,male,163.29007295502,64.02732252378809,light
5,63.99903675495039,2257.7808932770185,7801,14.344645109423737,2362.8993787330205,-105.11848545600196,1.733941075182373,1,56,male,163.29007295502,64.02732252378809,light
6,63.99804524178605,2160.937294546825,3937,6.063917259025386,2168.571945912207,-7.634651365382069,1.5913398620983756,1,56,male,163.29007295502,64.02732252378809,light
7,64.0015485300789,2290.3428574035543,5426,18.0216158416727,2263.3675375485514,26.97531985500291,1.6609026930694546,1,56,male,163.29007295502,64.02732252378809,light
8,63.97212538348196,2113.495740077581,7780,4.706004045748367,2340.0539688740982,-226.55822879651714,1.7171766734095806,1,56,male,163.29007295502,64.02732252378809,light
9,63.90898190392245,1810.1733519999561,6072,19.635907402091743,2296.378144608181,-486.20479260822503,1.6851265123368195,1,56,male,163.29007295502,64.02732252378809,light
10,63.891288500899385,2137.9918141028743,5857,14.184714284938686,2274.2310173804935,-136.23920327761925,1.6688745238082312,1,56,male,163.29007295502,64.02732252378809,light
11,63.884404703576166,2223.109236259623,5824,15.67398505715602,2276.1144756484046,-53.005239388781774,1.6702566417619267,1,56,male,163.29007295502,64.02732252378809,light
12,63.88281654043884,2196.6139542614123,4213,18.274838870748514,2208.842810418851,-12.228856157438713,1.6208913981179143,1,56,male,163.29007295502,64.02732252378809,light
